           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.17.1, build: eabee371
Access web UI at http://localhost:6333/dashboard

2026-05-25T06:59:25.094362Z  WARN qdrant::settings: Config file not found: config/config
2026-05-25T06:59:25.094400Z  WARN qdrant::settings: Config file not found: config/development
2026-05-25T06:59:25.107938Z  WARN qdrant: There is a potential issue with the filesystem for storage path ./storage. Details: Filesystem type check is not supported on this platform
2026-05-25T06:59:25.108307Z  INFO storage::content_manager::consensus::persistent: Loading raft state from ./storage\raft_state.json
2026-05-25T06:59:25.113425Z  INFO storage::content_manager::toc: Loading collection: local_life_hybrid_chunks
2026-05-25T06:59:27.825134Z  INFO collection::shards::local_shard: Recovering shard ./storage\collections\local_life_hybrid_chunks\0: 0/1 (0%)
2026-05-25T06:59:28.153987Z  INFO collection::shards::local_shard: Recovered collection local_life_hybrid_chunks: 1/1 (100%)
2026-05-25T06:59:28.158071Z  INFO storage::content_manager::toc: Loading collection: local_life_parent_child_chunks
2026-05-25T06:59:31.313789Z  INFO collection::shards::local_shard: Recovering shard ./storage\collections\local_life_parent_child_chunks\0: 0/1 (0%)
2026-05-25T06:59:31.595035Z  INFO collection::shards::local_shard: Recovered collection local_life_parent_child_chunks: 1/1 (100%)
2026-05-25T06:59:31.599191Z  INFO qdrant: Distributed mode disabled
2026-05-25T06:59:31.599258Z  INFO qdrant: Telemetry reporting enabled, id: e04c9ab5-a6ab-417d-93aa-abc058dd17b4
2026-05-25T06:59:31.610761Z  INFO qdrant::actix: REST transport settings: keep_alive=5s, client_request_timeout=5s, client_disconnect_timeout=5s
2026-05-25T06:59:31.610843Z  INFO qdrant::actix: TLS disabled for REST API
2026-05-25T06:59:31.615570Z  INFO qdrant::actix: Qdrant HTTP listening on 6333
2026-05-25T06:59:31.615632Z  INFO actix_server::builder: starting 13 workers
2026-05-25T06:59:31.615789Z  INFO actix_server::server: Actix runtime found; starting in Actix runtime
2026-05-25T06:59:31.615823Z  INFO actix_server::server: starting service: "actix-web-service-0.0.0.0:6333", workers: 13, listening on: 0.0.0.0:6333
2026-05-25T06:59:31.618917Z  INFO qdrant::tonic: Qdrant gRPC listening on 6334
2026-05-25T06:59:31.618985Z  INFO qdrant::tonic: TLS disabled for gRPC API
2026-05-25T06:59:37.358555Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/user_semantic_memory/exists HTTP/1.1" 200 65 "-" "python-client/1.17.1 python/3.11.9" 0.003236
2026-05-25T06:59:37.378950Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/local_life_hybrid_chunks/exists HTTP/1.1" 200 66 "-" "python-client/1.17.1 python/3.11.9" 0.001203
2026-05-25T06:59:37.385729Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/count HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.003654
