           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.17.1, build: eabee371
Access web UI at http://localhost:6333/dashboard

2026-05-25T14:23:27.289914Z  WARN qdrant::settings: Config file not found: config/config
2026-05-25T14:23:27.290748Z  WARN qdrant::settings: Config file not found: config/development
2026-05-25T14:23:27.312817Z  WARN qdrant: There is a potential issue with the filesystem for storage path ./storage. Details: Filesystem type check is not supported on this platform
2026-05-25T14:23:27.314418Z  INFO storage::content_manager::consensus::persistent: Loading raft state from ./storage\raft_state.json
2026-05-25T14:23:27.335423Z  INFO storage::content_manager::toc: Loading collection: local_life_hybrid_chunks
2026-05-25T14:23:31.229774Z  INFO collection::shards::local_shard: Recovering shard ./storage\collections\local_life_hybrid_chunks\0: 0/1 (0%)
2026-05-25T14:23:31.505575Z  INFO collection::shards::local_shard: Recovered collection local_life_hybrid_chunks: 1/1 (100%)
2026-05-25T14:23:31.508375Z  INFO storage::content_manager::toc: Loading collection: local_life_parent_child_chunks
2026-05-25T14:23:34.923190Z  INFO collection::shards::local_shard: Recovering shard ./storage\collections\local_life_parent_child_chunks\0: 0/1 (0%)
2026-05-25T14:23:35.165833Z  INFO collection::shards::local_shard: Recovered collection local_life_parent_child_chunks: 1/1 (100%)
2026-05-25T14:23:35.169413Z  INFO qdrant: Distributed mode disabled
2026-05-25T14:23:35.169734Z  INFO qdrant: Telemetry reporting enabled, id: c69a7c22-990c-4c3c-b86e-fac3b93b85ee
2026-05-25T14:23:35.177453Z  INFO qdrant::actix: REST transport settings: keep_alive=5s, client_request_timeout=5s, client_disconnect_timeout=5s
2026-05-25T14:23:35.177929Z  INFO qdrant::actix: TLS disabled for REST API
2026-05-25T14:23:35.183176Z  INFO qdrant::actix: Qdrant HTTP listening on 6333
2026-05-25T14:23:35.183683Z  INFO actix_server::builder: starting 13 workers
2026-05-25T14:23:35.184289Z  INFO actix_server::server: Actix runtime found; starting in Actix runtime
2026-05-25T14:23:35.184553Z  INFO actix_server::server: starting service: "actix-web-service-0.0.0.0:6333", workers: 13, listening on: 0.0.0.0:6333
2026-05-25T14:23:35.190526Z  INFO qdrant::tonic: Qdrant gRPC listening on 6334
2026-05-25T14:23:35.191027Z  INFO qdrant::tonic: TLS disabled for gRPC API
2026-05-25T14:23:52.551566Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/user_semantic_memory/exists HTTP/1.1" 200 67 "-" "python-client/1.17.1 python/3.11.9" 0.002728
2026-05-25T14:23:52.570845Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/local_life_hybrid_chunks/exists HTTP/1.1" 200 66 "-" "python-client/1.17.1 python/3.11.9" 0.000545
2026-05-25T14:23:52.593401Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/count HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.004630
